사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,1호선,0150,서울역,646,24,"8,433","7,694","12,608","46,963","39,233","100,397","65,106","201,687","54,833","136,594","54,970","72,279","65,919","63,975","73,911","71,095","75,158","70,182","62,452","63,752","83,128","66,858","94,518","68,962","144,662","80,449","194,098","85,268","97,875","56,132","69,808","39,704","76,345","35,471","51,224","26,045","20,385","15,480",158,"1,332",1,4,0,1,0,0,2022-07-03 09:48:05
2022-06,1호선,0151,시청,271,7,"3,133","4,802","3,321","23,621","6,647","62,427","8,294","179,710","9,211","80,830","10,835","36,788","16,716","35,424","19,234","31,199","24,405","30,398","30,565","24,936","39,899","20,559","46,625","19,624","77,189","21,255","144,407","21,622","51,494","9,722","44,062","5,873","43,072","5,598","29,032","4,091","9,254","2,938",72,422,0,2,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0152,종각,91,9,"4,007","3,960","3,682","22,533","5,814","95,376","9,612","235,160","11,847","130,278","16,040","56,506","24,526","53,307","30,613","46,342","40,174","45,544","47,163","37,652","58,871","33,798","67,674","35,698","124,639","42,861","192,630","47,804","81,385","23,022","72,603","10,446","80,861","7,772","65,832","5,368","27,781","3,590",315,394,0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0153,종로3가,190,12,"3,882","3,261","3,570","14,038","4,746","25,469","8,589","68,699","13,179","65,554","19,047","57,537","29,424","64,639","41,102","64,686","48,210","59,569","56,456","52,854","64,165","43,080","67,802","40,060","77,696","37,925","94,729","37,948","57,840","19,186","48,259","9,725","51,274","7,492","42,291","5,558","17,170","4,119",310,843,3,3,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0154,종로5가,34,0,"1,730","3,909","2,986","16,406","5,020","41,304","8,550","96,113","11,925","60,645","19,836","53,221","29,381","57,319","38,879","55,006","47,090","49,208","54,140","45,489","57,120","37,951","61,010","35,378","76,977","32,188","93,526","29,463","46,741","15,316","34,020","7,315","31,369","5,271","22,016","3,862","6,208","2,628",98,668,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0155,동대문,890,31,"11,300","2,056","8,821","7,698","14,163","12,675","18,873","22,464","17,325","22,417","16,419","22,140","18,122","24,956","21,598","23,729","23,154","21,574","24,074","20,549","24,029","19,713","25,058","18,946","24,206","18,220","22,768","18,594","16,566","18,377","14,190","12,669","13,069","10,945","11,218","9,477","4,350","8,677",25,"1,595",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0156,신설동,370,19,"8,467","2,653","8,568","11,348","18,684","23,149","26,419","56,781","17,655","30,981","15,675","21,083","18,353","18,159","19,631","17,674","21,564","17,706","20,964","16,602","22,866","17,049","29,355","18,672","38,033","21,197","52,042","24,959","19,977","17,926","13,881","11,722","12,202","11,910","8,766","10,182","3,482","7,832",232,"1,578",1,12,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0157,제기동,441,2,"4,888","2,214","8,551","9,419","21,610","19,135","30,791","39,898","22,427","33,322","26,035","37,499","32,669","41,571","36,385","46,331","38,350","46,892","40,338","41,227","44,866","34,869","45,388","30,364","42,596","25,926","39,498","26,151","18,875","17,104","12,088","11,341","8,618","10,537","5,458","9,800","2,040","6,711",42,780,1,1,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0158,청량리(서울시립대입구),887,14,"10,765","4,593","14,934","22,471","35,371","17,531","45,883","35,718","30,613","33,617","29,986","37,315","34,624","40,552","38,610","40,209","39,647","42,390","40,356","42,786","43,355","41,554","52,228","38,422","49,382","39,050","41,399","45,949","22,624","30,115","18,205","18,431","13,636","17,345","8,698","15,743","3,165","9,765",84,"1,613",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,1호선,0159,동묘앞,170,3,"2,827","1,104","3,321","5,042","6,249","9,730","9,677","22,640","8,695","17,690","10,365","20,416","15,059","26,326","21,497","27,976","27,673","30,678","28,244","26,319","29,101","22,416","30,004","17,549","28,947","13,338","21,259","10,392","10,054","6,945","5,874","4,727","4,991","4,533","3,564","5,281","1,312","3,604",31,"2,129",0,0,1,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0201,시청,63,1,"1,214","1,571","1,856","17,603","4,770","60,164","7,222","198,143","8,890","78,682","12,007","26,246","18,060","23,565","19,127","22,525","23,868","23,268","28,799","20,262","34,375","17,699","39,804","15,282","81,486","18,801","156,382","19,257","49,387","9,389","37,481","5,394","36,256","5,313","24,952","4,681","9,715","3,509","1,182","1,268",0,27,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0202,을지로입구,63,1,"2,069","2,594","3,347","27,450","8,754","116,114","14,904","297,445","16,452","138,972","20,133","62,241","28,822","56,664","35,014","49,627","46,162","47,135","51,593","42,021","62,225","38,631","72,143","38,841","133,811","45,378","249,322","47,925","97,137","26,139","88,899","15,712","63,591","14,655","47,875","13,777","19,349","8,727","2,738","4,024",2,603,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0203,을지로3가,21,2,"1,060","1,801","2,451","19,193","5,136","65,511","10,346","162,157","12,028","67,056","13,788","29,616","19,269","25,993","21,179","24,132","23,886","26,020","27,149","23,413","30,831","22,066","37,126","24,633","78,443","29,993","128,641","35,725","50,524","20,580","37,765","11,487","42,876","9,424","40,024","7,892","23,524","5,417","2,746","1,446",3,46,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0204,을지로4가,9,1,892,"1,343","1,915","13,801","3,939","33,401","7,873","74,135","8,224","37,009","9,666","22,085","13,662","21,662","15,782","19,425","18,232","19,215","20,801","17,579","23,532","15,696","28,783","14,623","51,371","14,051","64,572","14,097","28,093","8,084","15,698","4,902","13,550","4,440","9,855","4,159","4,643","3,076",711,937,0,18,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0205,동대문역사문화공원(DDP),274,5,"5,189","1,212","4,043","8,297","6,169","22,270","10,307","48,467","10,119","32,237","10,634","27,554","14,342","27,410","17,306","27,069","19,410","27,134","22,766","26,985","29,311","23,582","36,854","20,978","40,361","21,553","42,582","25,134","25,620","23,025","19,537","14,666","20,592","12,278","16,285","10,507","6,955","8,396",911,"3,288",0,37,0,0,0,0,2022-07-03 09:48:05
